id,name_ch,name,match_title,match_url,midi_url
2,聖哉聖哉聖哉," Holy, Holy, Holy",,https://www.hymnal.net/en/hymn/h/6,https://www.hymnal.net/Hymns/Hymnal/midi/e0006_i.mid
5,全能君王降臨," Come, Thou Almighty King","Come, Thou Almighty King",https://www.hymnal.net/en/hymn/h/3,https://www.hymnal.net/Hymns/Hymnal/midi/e0003_i.mid
8,讚美我主全能主神," Praise To The Lord, The Almighty","Praise to the Lord, the Almighty",https://www.hymnal.net/en/hymn/h/166,https://www.hymnal.net/Hymns/Hymnal/midi/e0166_i.mid
14,不能朽不能見獨一的真神," Immortal, Invisible, God Only Wise","Immortal, invisible, God only wise",https://www.hymnal.net/en/hymn/h/14,https://www.hymnal.net/Hymns/Hymnal/midi/e0014_i.mid
16,頌讚與尊貴, Blessing And Honor,Blessing and honor and glory be Thine,https://www.hymnal.net/en/hymn/h/241,https://www.hymnal.net/Hymns/Hymnal/midi/e0241_i.mid
17,我們不會疲倦," We Are Never, Never Weary",We are never weary singing our eternal song,https://www.hymnal.net/en/hymn/h/41,https://www.hymnal.net/Hymns/Hymnal/midi/e0041_i.mid
21,父阿久在創世之前," Father, 'Twas Thy Love That Knew Us","Father, 'twas Thy love that knew us",https://www.hymnal.net/en/hymn/h/34,https://www.hymnal.net/Hymns/Hymnal/midi/e0026_i.mid
23,神啊你為何故," What Was It, Blessed God","What was it, blessed God",https://www.hymnal.net/en/hymn/h/29,https://www.hymnal.net/Hymns/Hymnal/midi/e0029_i.mid
25,沒有血沒有壇," No Blood, No Altar Now","No blood, no altar now",https://www.hymnal.net/en/hymn/h/106,https://www.hymnal.net/Hymns/Hymnal/midi/e0106_i.mid
26,哦神是你召我們," By Thee, O God, Invited","By Thee, O God, invited",https://www.hymnal.net/en/hymn/h/42,https://www.hymnal.net/Hymns/Hymnal/midi/e0042_i.mid
27,我為甚麼憂懼疑惑," Why Should I Worry, Doubt And Fear?","Why should I worry, doubt and fear",https://www.hymnal.net/en/hymn/h/1003,https://www.hymnal.net/Hymns/Hymnal/midi/e0021_i.mid
28,我主耶穌是我的義," Jesus, Thy Blood And Righteousness",,https://www.hymnal.net/en/hymn/h/295,https://www.hymnal.net/Hymns/Hymnal/midi/e0061_i.mid
33,榮耀歸與真神, To God Be The Glory,,https://www.hymnal.net/en/hymn/h/39,https://www.hymnal.net/Hymns/Hymnal/midi/e0039_i.mid
35,神我要讚美你," We Praise Thee, O God","God, we praise Thee for Thy mercy",https://www.hymnal.net/en/hymn/h/40,https://www.hymnal.net/Hymns/Hymnal/midi/e0040_i.mid
38,阿爸我們來頌讚你," Abba, Father! We Adore Thee","Abba, Father! we adore Thee",https://www.hymnal.net/en/hymn/h/45,https://www.hymnal.net/Hymns/Hymnal/midi/e0045_i.mid
39,阿爸父阿我們現在," Abba, Father, We Approach Thee","Abba, Father, we approach Thee",https://www.hymnal.net/en/hymn/h/43,https://www.hymnal.net/Hymns/Hymnal/midi/e0020_i.mid
40,父阿兒女稱頌你名," Father, Thy Name Our Souls Would Bless","Father, Thy name our souls would bless",https://www.hymnal.net/en/hymn/h/47,https://www.hymnal.net/Hymns/Hymnal/midi/e0038_i.mid
41,父前拜禮," Father, To Thee A Joyful Song We Raise","Father, to Thee a joyful song we raise",https://www.hymnal.net/en/hymn/h/52,https://www.hymnal.net/Hymns/Hymnal/midi/e0025_i.mid
44,父神阿你在羔羊裡, O God! We See Thee In The Lamb,O God! we see Thee in the Lamb,https://www.hymnal.net/en/hymn/h/37,https://www.hymnal.net/Hymns/Hymnal/midi/e0010_i.mid
46,聽阿天使高聲唱, Hark! The Herald Angels Sing,Hark! the herald angels sing,https://www.hymnal.net/en/hymn/h/84,https://www.hymnal.net/Hymns/Hymnal/midi/e0084_i.mid
50,哦來蒙恩群眾," O Come, All Ye Faithful",O Come All Ye Faithful,https://www.hymnal.net/en/hymn/h/85,https://www.hymnal.net/Hymns/Hymnal/midi/e0085_i.mid
53,我有一位奇妙救主, I Have A Friend Whose Faithful Love,"I have a Friend, whose faithful love",https://www.hymnal.net/en/hymn/h/156,https://www.hymnal.net/Hymns/Hymnal/midi/e0156_i.mid
55,哦主我們今想到你," O Lord, When We The Path Retrace",O Lord! When we the path retrace,https://www.hymnal.net/en/hymn/h/87,https://www.hymnal.net/Hymns/Hymnal/midi/e0056_i.mid
59,哦滿了傷痕的頭, O Head Once Full Of Bruises,O Head once full of bruises,https://www.hymnal.net/en/hymn/h/95,https://www.hymnal.net/Hymns/Hymnal/midi/e0095_i.mid
61,我們的靈伏著注視, Gazing On The Lord In Glory,Gazing on the Lord in glory,https://www.hymnal.net/en/hymn/h/136,https://www.hymnal.net/Hymns/Hymnal/midi/e0136_i.mid
62,耶穌獨自祈禱, It Was Alone The Savior Prayed,It was alone the Savior prayed,https://www.hymnal.net/en/hymn/h/91,https://www.hymnal.net/Hymns/Hymnal/midi/e0091_i.mid
66,主當我們漂流曠野," Lord, Thy Love Has Sought And Found Us","Lord, Thy love has sought and found us",https://www.hymnal.net/en/hymn/h/158,https://www.hymnal.net/Hymns/Hymnal/midi/e0158_i.mid
67,遠山迢迢其色青青, There Is A Green Hill Far Away,There is a green hill far away,https://www.hymnal.net/en/hymn/h/995,https://www.hymnal.net/Hymns/Hymnal/midi/e0995_i.mid
68,哦主求你指教我, O Teach Me What It Meaneth,O teach me what it meaneth,https://www.hymnal.net/en/hymn/h/1076,https://www.hymnal.net/Hymns/Hymnal/midi/e0508_i.mid
74,憐憫慈愛, Merciful And Loving,Merciful and loving,https://www.hymnal.net/en/hymn/h/988,https://www.hymnal.net/Hymns/Hymnal/midi/e0988_i.mid
76,主我寶貴你的行徑," Lord, We Treasure With Affection","Lord, we treasure with affection",https://www.hymnal.net/en/hymn/h/93,https://www.hymnal.net/Hymns/Hymnal/midi/e0007_i.mid
78,近十架, Near The Cross,"Jesus, keep me near the cross",https://www.hymnal.net/en/hymn/h/1059,https://www.hymnal.net/Hymns/Hymnal/midi/e1059_i.mid
79,古老的十字架, The Old Rugged Cross,The old rugged cross,https://www.hymnal.net/en/hymn/h/618,https://www.hymnal.net/Hymns/Hymnal/midi/e0618_i.mid
82,在主十架之下, Beneath The Cross Of Jesus,Beneath the cross of Jesus,https://www.hymnal.net/en/hymn/h/621,https://www.hymnal.net/Hymns/Hymnal/midi/e0621_i.mid
84,祂不能救自己, Himself He Could Not Save,Himself He could not save,https://www.hymnal.net/en/hymn/h/105,https://www.hymnal.net/Hymns/Hymnal/midi/e0105_i.mid
85,頌讚聲音何等難得, How Pleasant Is The Sound Of Praise,How pleasant is the sound of praise,https://www.hymnal.net/en/hymn/h/113,https://www.hymnal.net/Hymns/Hymnal/midi/e0113_i.mid
87,你愛所給雖然甚多, Of All The Gifts Thy Love Bestows,Of all the gifts Thy love bestows,https://www.hymnal.net/en/hymn/h/38,https://www.hymnal.net/Hymns/Hymnal/midi/e0038_i.mid
90,有一血泉, There Is A Fountain Filled With Blood,There is a fountain filled with blood,https://www.hymnal.net/en/hymn/h/1006,https://www.hymnal.net/Hymns/Hymnal/midi/e1006_i.mid
93,我以信心仰望你, My Faith Looks Up To Thee,My faith looks up to Thee,https://www.hymnal.net/en/hymn/h/429,https://www.hymnal.net/Hymns/Hymnal/midi/e0429_i.mid
94,九十九隻羊, The Ninety And Nine,There were ninety and nine that safely lay,https://www.hymnal.net/en/hymn/h/1077,https://www.hymnal.net/Hymns/Hymnal/midi/e1077_i.mid
