id,name_ch,name,match_title,match_url
2,聖哉聖哉聖哉," Holy, Holy, Holy",,https://www.hymnal.net/en/hymn/h/6
5,全能君王降臨," Come, Thou Almighty King","Come, Thou Almighty King",https://www.hymnal.net/en/hymn/h/3
8,讚美我主全能主神," Praise To The Lord, The Almighty","Praise to the Lord, the Almighty",https://www.hymnal.net/en/hymn/h/166
14,不能朽不能見獨一的真神," Immortal, Invisible, God Only Wise","Immortal, invisible, God only wise",https://www.hymnal.net/en/hymn/h/14
16,頌讚與尊貴, Blessing And Honor,Blessing and honor and glory be Thine,https://www.hymnal.net/en/hymn/h/241
17,我們不會疲倦," We Are Never, Never Weary",We are never weary singing our eternal song,https://www.hymnal.net/en/hymn/h/41
21,父阿久在創世之前," Father, 'Twas Thy Love That Knew Us","Father, 'twas Thy love that knew us",https://www.hymnal.net/en/hymn/h/34
23,神啊你為何故," What Was It, Blessed God","What was it, blessed God",https://www.hymnal.net/en/hymn/h/29
25,沒有血沒有壇," No Blood, No Altar Now","No blood, no altar now",https://www.hymnal.net/en/hymn/h/106
26,哦神是你召我們," By Thee, O God, Invited","By Thee, O God, invited",https://www.hymnal.net/en/hymn/h/42
27,我為甚麼憂懼疑惑," Why Should I Worry, Doubt And Fear?","Why should I worry, doubt and fear",https://www.hymnal.net/en/hymn/h/1003
28,我主耶穌是我的義," Jesus, Thy Blood And Righteousness",,https://www.hymnal.net/en/hymn/h/295
33,榮耀歸與真神, To God Be The Glory,,https://www.hymnal.net/en/hymn/h/39
35,神我要讚美你," We Praise Thee, O God","God, we praise Thee for Thy mercy",https://www.hymnal.net/en/hymn/h/40
38,阿爸我們來頌讚你," Abba, Father! We Adore Thee","Abba, Father! we adore Thee",https://www.hymnal.net/en/hymn/h/45
39,阿爸父阿我們現在," Abba, Father, We Approach Thee","Abba, Father, we approach Thee",https://www.hymnal.net/en/hymn/h/43
40,父阿兒女稱頌你名," Father, Thy Name Our Souls Would Bless","Father, Thy name our souls would bless",https://www.hymnal.net/en/hymn/h/47
41,父前拜禮," Father, To Thee A Joyful Song We Raise","Father, to Thee a joyful song we raise",https://www.hymnal.net/en/hymn/h/52
44,父神阿你在羔羊裡, O God! We See Thee In The Lamb,O God! we see Thee in the Lamb,https://www.hymnal.net/en/hymn/h/37
46,聽阿天使高聲唱, Hark! The Herald Angels Sing,Hark! the herald angels sing,https://www.hymnal.net/en/hymn/h/84
50,哦來蒙恩群眾," O Come, All Ye Faithful",O Come All Ye Faithful,https://www.hymnal.net/en/hymn/h/85
53,我有一位奇妙救主, I Have A Friend Whose Faithful Love,"I have a Friend, whose faithful love",https://www.hymnal.net/en/hymn/h/156
55,哦主我們今想到你," O Lord, When We The Path Retrace",O Lord! When we the path retrace,https://www.hymnal.net/en/hymn/h/87
