id,name_ch,name,match_title,match_id,similarity,match_url,true_match
1,榮耀歸與最高神, Glory To God In The Highest,When I've run the race before me,8773.0,0.0,https://www.hymnal.net/en/hymn/h/8773,
2,聖哉聖哉聖哉," Holy, Holy, Holy",,6.0,,https://www.hymnal.net/en/hymn/h/6,TRUE
3,三一頌, Doxology,,,0.0,,
4,當讚美聖父, Praise Ye The Father,"O God and Father, we our praises bring",54.0,0.0,https://www.hymnal.net/en/hymn/h/54,
5,全能君王降臨," Come, Thou Almighty King","Come, Thou Almighty King",3.0,1.0,https://www.hymnal.net/en/hymn/h/3,TRUE
6,主阿你的名何其美, How Excellent Is Thy Name,"O Lord, our Lord, how excellent",1097.0,0.125,https://www.hymnal.net/en/hymn/h/1097,
7,偉大的神, How Great Thou Art,"My Father God, when on Thy vast creation",17.0,0.0,https://www.hymnal.net/en/hymn/h/17,
8,讚美我主全能主神," Praise To The Lord, The Almighty","Praise to the Lord, the Almighty",166.0,1.0,https://www.hymnal.net/en/hymn/h/166,TRUE
9,快樂快樂我們敬拜," Joyful, Joyful, We Adore Thee",O Come All Ye Faithful,85.0,0.0,https://www.hymnal.net/en/hymn/h/85,
10,主手所造萬象生靈, All Creatures Of Our God And King,In the Name of Jesus,76.0,0.0,https://www.hymnal.net/en/hymn/h/76,
11,仰看穹蒼浩大無窮, The Spacious Firmament On High,,,0.0,,
12,這是天父世界, This Is My Father's World,My Father is rich in houses and lands,732.0,0.0909090909090909,https://www.hymnal.net/en/hymn/h/732,
13,主耶和華我的力量, Lord Jehovah My Strength,When sorrow and storms are besetting my track,8519.0,0.0,https://www.hymnal.net/en/hymn/h/8519,
14,不能朽不能見獨一的真神," Immortal, Invisible, God Only Wise","Immortal, invisible, God only wise",14.0,1.0,https://www.hymnal.net/en/hymn/h/14,TRUE
15,神阿你是何等奇妙," My God, How Wonderful Thou Art",,,0.0,,
16,頌讚與尊貴, Blessing And Honor,Blessing and honor and glory be Thine,241.0,0.333333333333333,https://www.hymnal.net/en/hymn/h/241,TRUE
17,我們不會疲倦," We Are Never, Never Weary",We are never weary singing our eternal song,41.0,0.375,https://www.hymnal.net/en/hymn/h/41,TRUE
18,神聖之愛遠超眾愛," Love Divine, All Loves Excelling",,,0.0,,
19,世上罪人為何徬徨," Souls Of Men, Why Will Ye Scatter",,,0.0,,
20,真神之愛, The Love Of God,Is your life a channel of blessing,928.0,0.0,https://www.hymnal.net/en/hymn/h/928,
21,父阿久在創世之前," Father, 'Twas Thy Love That Knew Us","Father, 'twas Thy love that knew us",34.0,1.0,https://www.hymnal.net/en/hymn/h/34,TRUE
